Category,File_ID,Shape,Style,Description,Image_Path,CAD_Path
Prongs,114_114_39596_S.3dm,Round,Basket,"A 6-prong basket style setting designed for a round gemstone, featuring a high profile that elevates the stone with a structured base.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\114_114_39596_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\114_114_39596_S.3dm
Prongs,114_114_39598_S.3dm,Round,Basket,"A 4-prong high-profile basket setting for a round stone, depicted in a wireframe CAD view.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\114_114_39598_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\114_114_39598_S.3dm
Prongs,114_114_568_S.3dm,Round,Basket,"A wireframe rendering of a 4-prong basket setting designed for a round stone. The setting features a circular base with multiple support bands forming a basket, from which four tall, rectangular prongs extend upwards.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\114_114_568_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\114_114_568_S.3dm
Prongs,114_114_574_S.3dm,Round,Basket,"A CAD wireframe rendering of a six-prong basket setting designed for a round brilliant stone. The prongs rise from an elevated circular gallery, creating a high profile setting. A lower circular band forms the base of the basket.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\114_114_574_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\114_114_574_S.3dm
Prongs,114_114_580_S.3dm,Round,Basket,"A high-profile 6-prong basket setting designed for a round stone, with a visible gallery structure below the prongs.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\114_114_580_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\114_114_580_S.3dm
Prongs,114_114_586_S.3dm,Round,Basket,"A 4-prong basket setting, high profile, designed for a round stone. The wireframe shows a structured under-gallery with supports between the main prongs.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\114_114_586_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\114_114_586_S.3dm
Prongs,118_118_512_S.3dm,Round,Basket,"A four-prong basket setting, designed for a round stone, with an elevated profile featuring multiple supporting rings beneath the girdle.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\118_118_512_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\118_118_512_S.3dm
Prongs,118_118_518_S.3dm,Round,Basket,"A 6-prong basket setting designed for a round stone, featuring a high profile with an open wireframe structure.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\118_118_518_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\118_118_518_S.3dm
Prongs,118_118_519_S.3dm,Round,Basket,"A high-profile, four-prong basket setting designed to hold a round stone, featuring a visible girdle rail connecting the prongs below the stone's intended seating.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\118_118_519_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\118_118_519_S.3dm
Prongs,118_118_526_S.3dm,Round,Basket,"A high-profile 4-prong basket setting designed for a round brilliant stone, featuring an open basket structure for optimal light entry.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\118_118_526_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\118_118_526_S.3dm
Prongs,118_118_559_S.3dm,Round,Basket,"A 4-prong basket setting for a round stone, featuring an open basket design with a high profile to allow maximum light exposure.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\118_118_559_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\118_118_559_S.3dm
Prongs,118_118_560_S.3dm,Round,Basket,"Wireframe CAD model of a high-profile, 4-prong basket setting designed for a round stone, featuring an open under-gallery with multiple circular support bands.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\118_118_560_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\118_118_560_S.3dm
Prongs,118_118_562_S.3dm,Round,Basket,"A 4-prong basket setting for a round stone, featuring a high profile with visible gallery work below the stone.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\118_118_562_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\118_118_562_S.3dm
Prongs,1897_1897_130105_S.3dm,Round,Basket,"A high-profile, intricate wireframe basket setting designed for a round center stone, secured by four prominent prongs. The complex, open base structure features additional smaller settings, likely for round accent stones, appearing on each side.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_130105_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_130105_S.3dm
Prongs,1897_1897_64840_S.3dm,"Mixed (Oval/Marquise, Rectangular, Round)",Cluster Setting,"Complex wireframe multi-stone cluster setting with a high profile. It features four prominent elevated structures for larger stones (two with rounded tops for oval/marquise, two with flat tops for rectangular/square) and a central, intricate arrangement of concentric circular and oval elements for smaller accent stones. The open design is characteristic of a prong-style setting, with 16 main vertical support structures visible for the four larger stones.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_64840_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_64840_S.3dm
Prongs,1897_1897_64842_S.3dm,"Mixed (Round, D-shape, Square/Cushion)",Bezel/Basket Cluster,"A complex, high-profile cluster setting designed to hold multiple gemstones. It features individual bezel or basket-style settings for various stone shapes, including round, D-shaped, and square/cushion shapes, arranged in a multi-tiered, radiating cluster from a central base.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_64842_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_64842_S.3dm
Prongs,1897_1897_64843_S.3dm,Mixed (Round and Square/Rectangular),"Multi-stone cluster, Prong setting","A complex, high-profile multi-stone cluster setting. It features two central square-shaped settings surrounded by an array of eight round-shaped settings of differing sizes. All stones are held by individual prongs extending upwards from an open basket-like base, designed to maximize light exposure.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_64843_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_64843_S.3dm
Prongs,1897_1897_64858_S.3dm,Round,Prong,"A high-profile, 4-prong setting designed for a round stone, featuring an ornate, filigree-style gallery encircling the base of the prongs.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_64858_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_64858_S.3dm
Prongs,1897_1897_64859_S.3dm,Round,Basket,"A high-profile, three-prong basket setting in a wireframe rendering. It features a circular base for a round stone, with the three prongs extending significantly upwards. The basket portion beneath the stone's girdle consists of intricate, open wirework loops and circles, allowing for light entry.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_64859_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_64859_S.3dm
Prongs,1897_1897_64866_S.3dm,Round,Basket,"A 4-prong high-profile basket setting with an ornate, crown-like basket structure designed for a round stone.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_64866_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_64866_S.3dm
Prongs,1897_1897_64867_S.3dm,Round,Basket,"Wireframe model of a four-prong basket setting, designed for a round stone. It features an intricate, openwork base structure supporting the prongs, creating a high-profile setting.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_64867_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_64867_S.3dm
Prongs,1897_1897_64876_S.3dm,Oval,Basket,"A four-prong setting designed for an oval stone, featuring a high profile with decorative, intricate gallery work forming a supportive structure below the stone's girdle.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_64876_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_64876_S.3dm
Prongs,1897_1897_64877_S.3dm,Round,Basket,"A high-profile, 4-prong basket setting designed for a round stone. The setting features a decorative open-work gallery beneath the prongs.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_64877_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_64877_S.3dm
